Unit Serial No : EM0P1805-EU
Integration Time : 30 ms
Time Average: 1
Binning Average: 1
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : 0003
Measurement No : 1
Measurement Time : 05/29/2014   15:45:22

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
692.5000      	14440.4332    	2417.33325    
693.0000      	14430.0144    	2405.00000    
693.5000      	14419.6107    	2401.00000    
694.0000      	14409.2219    	2431.00000    
694.5000      	14398.8481    	2466.66675    
695.0000      	14388.4892    	2473.66675    
695.5000      	14378.1452    	2463.66675    
696.0000      	14367.8161    	2471.66675    
696.5000      	14357.5018    	2492.66675    
697.0000      	14347.2023    	2466.33325    
697.5000      	14336.9176    	2423.33325    
698.0000      	14326.6476    	2390.33325    
698.5000      	14316.3923    	2384.66675    
699.0000      	14306.1516    	2397.33325    
699.5000      	14295.9257    	2406.00000    
700.0000      	14285.7143    	2432.66675    
700.5000      	14275.5175    	2474.00000    
701.0000      	14265.3352    	2479.66675    
701.5000      	14255.1675    	2464.66675    
702.0000      	14245.0142    	2426.33325    
702.5000      	14234.8754    	2414.66675    
703.0000      	14224.7511    	2399.33325    
703.5000      	14214.6411    	2381.66675    
704.0000      	14204.5455    	2387.33325    
704.5000      	14194.4642    	2422.00000    
705.0000      	14184.3972    	2492.33325    
705.5000      	14174.3444    	2501.00000    
706.0000      	14164.3059    	2499.66675    
706.5000      	14154.2817    	2501.66675    
707.0000      	14144.2716    	2512.00000    
707.5000      	14134.2756    	2485.33325    
708.0000      	14124.2938    	2443.66675    
708.5000      	14114.3260    	2440.33325    
709.0000      	14104.3724    	2431.66675    
709.5000      	14094.4327    	2430.33325    
710.0000      	14084.5070    	2428.33325    
710.5000      	14074.5954    	2451.33325    
711.0000      	14064.6976    	2465.00000    
711.5000      	14054.8138    	2460.66675    
712.0000      	14044.9438    	2442.66675    
712.5000      	14035.0877    	2414.33325    
713.0000      	14025.2454    	2373.33325    
713.5000      	14015.4170    	2323.00000    
714.0000      	14005.6022    	2329.00000    
714.5000      	13995.8013    	2372.33325    
715.0000      	13986.0140    	2414.00000    
715.5000      	13976.2404    	2436.00000    
716.0000      	13966.4804    	2408.66675    
716.5000      	13956.7341    	2427.66675    
717.0000      	13947.0014    	2446.66675    
717.5000      	13937.2822    	2431.66675    
718.0000      	13927.5766    	2403.66675    
718.5000      	13917.8845    	2353.66675    
719.0000      	13908.2058    	2371.66675    
719.5000      	13898.5407    	2415.00000    
720.0000      	13888.8889    	2455.33325    
720.5000      	13879.2505    	2457.00000    
721.0000      	13869.6255    	2468.33325    
721.5000      	13860.0139    	2503.33325    
722.0000      	13850.4155    	2508.33325    
722.5000      	13840.8304    	2470.33325    
723.0000      	13831.2586    	2438.00000    
723.5000      	13821.7001    	2431.66675    
724.0000      	13812.1547    	2425.00000    
724.5000      	13802.6225    	2362.33325    
725.0000      	13793.1034    	2388.66675    
725.5000      	13783.5975    	2431.66675    
726.0000      	13774.1047    	2438.00000    
726.5000      	13764.6249    	2430.00000    
727.0000      	13755.1582    	2436.00000    
727.5000      	13745.7045    	2429.66675    
728.0000      	13736.2637    	2391.33325    
728.5000      	13726.8360    	2370.00000    
729.0000      	13717.4211    	2366.00000    
729.5000      	13708.0192    	2374.66675    
730.0000      	13698.6301    	2424.66675    
730.5000      	13689.2539    	2458.33325    
731.0000      	13679.8906    	2471.33325    
731.5000      	13670.5400    	2475.33325    
732.0000      	13661.2022    	2459.00000    
732.5000      	13651.8771    	2435.66675    
733.0000      	13642.5648    	2401.00000    
733.5000      	13633.2652    	2365.66675    
734.0000      	13623.9782    	2363.00000    
734.5000      	13614.7039    	2378.66675    
735.0000      	13605.4422    	2433.00000    
735.5000      	13596.1931    	2471.66675    
736.0000      	13586.9565    	2486.66675    
736.5000      	13577.7325    	2483.33325    
737.0000      	13568.5210    	2467.66675    
737.5000      	13559.3220    	2440.00000    
738.0000      	13550.1355    	2413.00000    
738.5000      	13540.9614    	2422.66675    
739.0000      	13531.7997    	2410.66675    
739.5000      	13522.6504    	2384.33325    
740.0000      	13513.5135    	2390.66675    
740.5000      	13504.3889    	2416.33325    
741.0000      	13495.2767    	2427.66675    
741.5000      	13486.1767    	2457.66675    
742.0000      	13477.0889    	2479.33325    
742.5000      	13468.0135    	2481.00000    
743.0000      	13458.9502    	2442.33325    
743.5000      	13449.8991    	2437.00000    
744.0000      	13440.8602    	2432.33325    
744.5000      	13431.8334    	2406.66675    
745.0000      	13422.8188    	2424.66675    
745.5000      	13413.8162    	2439.33325    
746.0000      	13404.8257    	2457.33325    
746.5000      	13395.8473    	2460.33325    
747.0000      	13386.8809    	2480.00000    
747.5000      	13377.9264    	2479.33325    
748.0000      	13368.9840    	2441.33325    
748.5000      	13360.0534    	2408.33325    
749.0000      	13351.1348    	2385.00000    
749.5000      	13342.2282    	2382.33325    
750.0000      	13333.3333    	2408.33325    
750.5000      	13324.4504    	2443.33325    
751.0000      	13315.5792    	2474.66675    
751.5000      	13306.7199    	2476.00000    
752.0000      	13297.8723    	2469.33325    
752.5000      	13289.0365    	2482.00000    
753.0000      	13280.2125    	2471.00000    
753.5000      	13271.4001    	2423.33325    
754.0000      	13262.5995    	2384.00000    
754.5000      	13253.8105    	2362.33325    
755.0000      	13245.0331    	2359.00000    
755.5000      	13236.2674    	2377.00000    
756.0000      	13227.5132    	2422.00000    
756.5000      	13218.7707    	2434.00000    
757.0000      	13210.0396    	2457.66675    
757.5000      	13201.3201    	2509.33325    
758.0000      	13192.6121    	2507.33325    
758.5000      	13183.9156    	2483.33325    
759.0000      	13175.2306    	2414.00000    
759.5000      	13166.5569    	2396.00000    
760.0000      	13157.8947    	2391.33325    
760.5000      	13149.2439    	2427.00000    
761.0000      	13140.6045    	2483.66675    
761.5000      	13131.9764    	2526.33325    
762.0000      	13123.3596    	2530.66675    
762.5000      	13114.7541    	2528.33325    
763.0000      	13106.1599    	2551.66675    
763.5000      	13097.5769    	2532.00000    
764.0000      	13089.0052    	2496.00000    
764.5000      	13080.4447    	2411.33325    
765.0000      	13071.8954    	2404.66675    
765.5000      	13063.3573    	2394.00000    
766.0000      	13054.8303    	2429.66675    
766.5000      	13046.3144    	2446.33325    
767.0000      	13037.8096    	2469.66675    
767.5000      	13029.3160    	2488.00000    
768.0000      	13020.8333    	2482.33325    
768.5000      	13012.3617    	2473.00000    
769.0000      	13003.9012    	2439.33325    
769.5000      	12995.4516    	2399.66675    
770.0000      	12987.0130    	2367.00000    
770.5000      	12978.5853    	2428.66675    
771.0000      	12970.1686    	2451.66675    
771.5000      	12961.7628    	2463.66675    
772.0000      	12953.3679    	2476.33325    
772.5000      	12944.9838    	2507.00000    
773.0000      	12936.6106    	2502.00000    
773.5000      	12928.2482    	2403.33325    
774.0000      	12919.8966    	2377.00000    
774.5000      	12911.5558    	2393.00000    
775.0000      	12903.2258    	2388.00000    
775.5000      	12894.9065    	2383.33325    
776.0000      	12886.5979    	2387.33325    
776.5000      	12878.3001    	2408.33325    
777.0000      	12870.0129    	2433.66675    
777.5000      	12861.7363    	2514.66675    
778.0000      	12853.4704    	2550.66675    
778.5000      	12845.2152    	2538.33325    
779.0000      	12836.9705    	2460.66675    
779.5000      	12828.7364    	2441.33325    
780.0000      	12820.5128    	2425.66675    
780.5000      	12812.2998    	2413.00000    
781.0000      	12804.0973    	2373.33325    
781.5000      	12795.9053    	2429.00000    
782.0000      	12787.7238    	2489.00000    
782.5000      	12779.5527    	2503.66675    
783.0000      	12771.3921    	2456.33325    
783.5000      	12763.2419    	2443.33325    
784.0000      	12755.1020    	2443.00000    
784.5000      	12746.9726    	2444.00000    
785.0000      	12738.8535    	2409.33325    
785.5000      	12730.7447    	2335.33325    
786.0000      	12722.6463    	2348.66675    
786.5000      	12714.5582    	2404.33325    
787.0000      	12706.4803    	2475.66675    
787.5000      	12698.4127    	2499.66675    
788.0000      	12690.3553    	2494.33325    
788.5000      	12682.3082    	2477.33325    
789.0000      	12674.2712    	2433.66675    
789.5000      	12666.2445    	2377.33325    
790.0000      	12658.2278    	2353.00000    
790.5000      	12650.2214    	2368.66675    
791.0000      	12642.2250    	2365.33325    
791.5000      	12634.2388    	2477.66675    
792.0000      	12626.2626    	2495.33325    
792.5000      	12618.2965    	2484.00000    
793.0000      	12610.3405    	2433.66675    
793.5000      	12602.3945    	2467.66675    
794.0000      	12594.4584    	2484.00000    
794.5000      	12586.5324    	2431.66675    
795.0000      	12578.6164    	2364.33325    
795.5000      	12570.7102    	2359.66675    
796.0000      	12562.8141    	2383.66675    
796.5000      	12554.9278    	2443.00000    
797.0000      	12547.0514    	2488.66675    
797.5000      	12539.1850    	2537.66675    
798.0000      	12531.3283    	2538.66675    
798.5000      	12523.4815    	2534.33325    
799.0000      	12515.6446    	2521.00000    
799.5000      	12507.8174    	2480.00000    
800.0000      	12500.0000    	2427.66675    
800.5000      	12492.1924    	2397.33325    
801.0000      	12484.3945    	2416.66675    
801.5000      	12476.6064    	2430.33325    
802.0000      	12468.8279    	2431.33325    
802.5000      	12461.0592    	2437.66675    
803.0000      	12453.3001    	2451.66675    
803.5000      	12445.5507    	2527.00000    
804.0000      	12437.8109    	2506.00000    
804.5000      	12430.0808    	2457.66675    
805.0000      	12422.3602    	2436.00000    
805.5000      	12414.6493    	2418.66675    
806.0000      	12406.9479    	2429.00000    
806.5000      	12399.2560    	2439.00000    
807.0000      	12391.5737    	2458.33325    
807.5000      	12383.9009    	2525.33325    
808.0000      	12376.2376    	2608.66675    
808.5000      	12368.5838    	2670.00000    
809.0000      	12360.9394    	2733.00000    
809.5000      	12353.3045    	2809.00000    
810.0000      	12345.6790    	2857.66675    
810.5000      	12338.0629    	2933.33325    
811.0000      	12330.4562    	3020.66675    
811.5000      	12322.8589    	3098.33325    
812.0000      	12315.2709    	3154.33325    
812.5000      	12307.6923    	3265.33325    
813.0000      	12300.1230    	3363.33325    
813.5000      	12292.5630    	3450.66675    
814.0000      	12285.0123    	3529.00000    
814.5000      	12277.4708    	3591.00000    
815.0000      	12269.9387    	3642.33325    
815.5000      	12262.4157    	3675.00000    
816.0000      	12254.9020    	3682.33325    
816.5000      	12247.3974    	3679.00000    
817.0000      	12239.9021    	3689.33325    
817.5000      	12232.4159    	3689.33325    
818.0000      	12224.9389    	3679.66675    
818.5000      	12217.4710    	3681.33325    
819.0000      	12210.0122    	3710.33325    
819.5000      	12202.5625    	3690.00000    
820.0000      	12195.1220    	3622.33325    
820.5000      	12187.6904    	3509.66675    
821.0000      	12180.2680    	3389.33325    
821.5000      	12172.8545    	3287.33325    
822.0000      	12165.4501    	3269.00000    
822.5000      	12158.0547    	3241.33325    
823.0000      	12150.6683    	3199.33325    
823.5000      	12143.2908    	3135.00000    
824.0000      	12135.9223    	3066.00000    
824.5000      	12128.5628    	2944.66675    
825.0000      	12121.2121    	2903.33325    
825.5000      	12113.8704    	2843.00000    
826.0000      	12106.5375    	2763.66675    
826.5000      	12099.2136    	2678.66675    
827.0000      	12091.8984    	2607.33325    
827.5000      	12084.5921    	2560.00000    
828.0000      	12077.2947    	2651.66675    
828.5000      	12070.0060    	2691.66675    
829.0000      	12062.7262    	2679.33325    
829.5000      	12055.4551    	2578.00000    
830.0000      	12048.1928    	2509.00000    
830.5000      	12040.9392    	2442.00000    
831.0000      	12033.6943    	2392.66675    
831.5000      	12026.4582    	2387.33325    
832.0000      	12019.2308    	2375.33325    
832.5000      	12012.0120    	2365.66675    
833.0000      	12004.8019    	2384.33325    
833.5000      	11997.6005    	2406.66675    
834.0000      	11990.4077    	2436.66675    
834.5000      	11983.2235    	2427.33325    
835.0000      	11976.0479    	2403.66675    
835.5000      	11968.8809    	2393.33325    
836.0000      	11961.7225    	2398.33325    
836.5000      	11954.5726    	2411.66675    
837.0000      	11947.4313    	2408.66675    
837.5000      	11940.2985    	2410.00000    
838.0000      	11933.1742    	2429.00000    
838.5000      	11926.0584    	2450.00000    
839.0000      	11918.9511    	2454.33325    
839.5000      	11911.8523    	2455.00000    
840.0000      	11904.7619    	2403.00000    
840.5000      	11897.6800    	2369.33325    
841.0000      	11890.6064    	2382.00000    
841.5000      	11883.5413    	2412.00000    
842.0000      	11876.4846    	2423.00000    
842.5000      	11869.4362    	2445.33325    
843.0000      	11862.3962    	2443.33325    
843.5000      	11855.3646    	2423.33325    
844.0000      	11848.3412    	2442.00000    
844.5000      	11841.3262    	2455.66675    
845.0000      	11834.3195    	2454.66675    
845.5000      	11827.3211    	2442.00000    
846.0000      	11820.3310    	2439.66675    
846.5000      	11813.3491    	2424.00000    
847.0000      	11806.3754    	2401.33325    
847.5000      	11799.4100    	2388.66675    
848.0000      	11792.4528    	2390.00000    
848.5000      	11785.5038    	2420.33325    
849.0000      	11778.5630    	2451.00000    
849.5000      	11771.6304    	2449.00000    
850.0000      	11764.7059    	2445.00000    
850.5000      	11757.7895    	2451.33325    
851.0000      	11750.8813    	2449.00000    
851.5000      	11743.9812    	2455.33325    
852.0000      	11737.0892    	2441.00000    
852.5000      	11730.2053    	2393.33325    
853.0000      	11723.3294    	2419.33325    
853.5000      	11716.4616    	2447.33325    
854.0000      	11709.6019    	2473.33325    
854.5000      	11702.7501    	2461.66675    
855.0000      	11695.9064    	2475.33325    
855.5000      	11689.0707    	2546.33325    
856.0000      	11682.2430    	2533.66675    
856.5000      	11675.4232    	2468.66675    
857.0000      	11668.6114    	2415.33325    
857.5000      	11661.8076    	2402.66675    
858.0000      	11655.0117    	2398.00000    
858.5000      	11648.2236    	2388.66675    
859.0000      	11641.4435    	2415.00000    
859.5000      	11634.6713    	2442.33325    
860.0000      	11627.9070    	2496.66675    
860.5000      	11621.1505    	2518.00000    
861.0000      	11614.4019    	2516.33325    
861.5000      	11607.6611    	2453.66675    
862.0000      	11600.9281    	2326.33325    
862.5000      	11594.2029    	2326.00000    
863.0000      	11587.4855    	2342.66675    
863.5000      	11580.7759    	2365.00000    
864.0000      	11574.0741    	2419.00000    
864.5000      	11567.3800    	2462.66675    
865.0000      	11560.6936    	2472.33325    
865.5000      	11554.0150    	2475.66675    
866.0000      	11547.3441    	2474.66675    
866.5000      	11540.6809    	2459.00000    
867.0000      	11534.0254    	2413.00000    
867.5000      	11527.3775    	2384.33325    
868.0000      	11520.7373    	2367.33325    
868.5000      	11514.1048    	2418.66675    
869.0000      	11507.4799    	2461.00000    
869.5000      	11500.8626    	2485.33325    
870.0000      	11494.2529    	2483.66675    
870.5000      	11487.6508    	2472.66675    
871.0000      	11481.0563    	2481.66675    
871.5000      	11474.4693    	2493.33325    
872.0000      	11467.8899    	2477.66675    
872.5000      	11461.3181    	2462.00000    
873.0000      	11454.7537    	2427.66675    
873.5000      	11448.1969    	2398.33325    
874.0000      	11441.6476    	2417.33325    
874.5000      	11435.1058    	2500.33325    
875.0000      	11428.5714    	2503.33325    
875.5000      	11422.0445    	2479.33325    
876.0000      	11415.5251    	2498.00000    
876.5000      	11409.0131    	2513.33325    
877.0000      	11402.5086    	2459.00000    
877.5000      	11396.0114    	2399.33325    
878.0000      	11389.5216    	2374.33325    
878.5000      	11383.0393    	2393.66675    
879.0000      	11376.5643    	2415.00000    
879.5000      	11370.0966    	2445.66675    
880.0000      	11363.6364    	2475.33325    
880.5000      	11357.1834    	2493.00000    
881.0000      	11350.7378    	2521.33325    
881.5000      	11344.2995    	2529.00000    
882.0000      	11337.8685    	2524.00000    
882.5000      	11331.4448    	2495.33325    
883.0000      	11325.0283    	2458.00000    
883.5000      	11318.6191    	2407.33325    
884.0000      	11312.2172    	2322.33325    
884.5000      	11305.8225    	2321.66675    
885.0000      	11299.4350    	2342.00000    
885.5000      	11293.0548    	2380.66675    
886.0000      	11286.6817    	2417.66675    
886.5000      	11280.3158    	2450.66675    
887.0000      	11273.9572    	2442.33325    
887.5000      	11267.6056    	2417.33325    
888.0000      	11261.2613    	2419.66675    
888.5000      	11254.9240    	2412.66675    
889.0000      	11248.5939    	2384.00000    
889.5000      	11242.2709    	2386.66675    
890.0000      	11235.9551    	2392.33325    
890.5000      	11229.6463    	2475.33325    
891.0000      	11223.3446    	2502.33325    
891.5000      	11217.0499    	2527.00000    
892.0000      	11210.7623    	2504.66675    
892.5000      	11204.4818    	2496.66675    
893.0000      	11198.2083    	2456.66675    
893.5000      	11191.9418    	2391.66675    
894.0000      	11185.6823    	2317.00000    
894.5000      	11179.4298    	2342.33325    
895.0000      	11173.1844    	2369.00000    
895.5000      	11166.9458    	2380.33325    
896.0000      	11160.7143    	2400.33325    
896.5000      	11154.4897    	2434.33325    
897.0000      	11148.2720    	2426.66675    
897.5000      	11142.0613    	2410.00000    
898.0000      	11135.8575    	2390.33325    
898.5000      	11129.6605    	2382.33325    
899.0000      	11123.4705    	2392.66675    
899.5000      	11117.2874    	2404.66675    
900.0000      	11111.1111    	2406.00000    
900.5000      	11104.9417    	2433.33325    
901.0000      	11098.7791    	2469.00000    
901.5000      	11092.6234    	2487.66675    
902.0000      	11086.4745    	2490.33325    
902.5000      	11080.3324    	2498.66675    
903.0000      	11074.1971    	2502.66675    
903.5000      	11068.0686    	2441.33325    
904.0000      	11061.9469    	2395.66675    
904.5000      	11055.8320    	2378.33325    
905.0000      	11049.7238    	2389.00000    
905.5000      	11043.6223    	2408.33325    
906.0000      	11037.5276    	2431.66675    
906.5000      	11031.4396    	2475.66675    
907.0000      	11025.3583    	2495.00000    
907.5000      	11019.2837    	2496.00000    
908.0000      	11013.2159    	2496.66675    
908.5000      	11007.1547    	2486.00000    
909.0000      	11001.1001    	2476.66675    
909.5000      	10995.0522    	2463.00000    
910.0000      	10989.0110    	2396.66675    
910.5000      	10982.9764    	2391.66675    
911.0000      	10976.9484    	2407.66675    
911.5000      	10970.9270    	2448.00000    
912.0000      	10964.9123    	2468.00000    
912.5000      	10958.9041    	2484.33325    
913.0000      	10952.9025    	2611.33325    
913.5000      	10946.9075    	2646.33325    
914.0000      	10940.9190    	2626.00000    
914.5000      	10934.9371    	2456.66675    
915.0000      	10928.9617    	2379.33325    
915.5000      	10922.9929    	2383.66675    
916.0000      	10917.0306    	2409.66675    
916.5000      	10911.0747    	2457.33325    
917.0000      	10905.1254    	2495.66675    
917.5000      	10899.1826    	2518.33325    
918.0000      	10893.2462    	2507.00000    
918.5000      	10887.3163    	2479.00000    
919.0000      	10881.3928    	2437.66675    
919.5000      	10875.4758    	2393.33325    
920.0000      	10869.5652    	2373.66675    
920.5000      	10863.6611    	2378.66675    
921.0000      	10857.7633    	2411.33325    
921.5000      	10851.8719    	2475.66675    
922.0000      	10845.9870    	2517.00000    
922.5000      	10840.1084    	2510.33325    
923.0000      	10834.2362    	2507.33325    
923.5000      	10828.3703    	2498.66675    
924.0000      	10822.5108    	2455.66675    
924.5000      	10816.6577    	2424.00000    
925.0000      	10810.8108    	2408.33325    
925.5000      	10804.9703    	2397.33325    
926.0000      	10799.1361    	2405.33325    
926.5000      	10793.3081    	2485.33325    
927.0000      	10787.4865    	2495.00000    
927.5000      	10781.6712    	2492.66675    
928.0000      	10775.8621    	2495.00000    
928.5000      	10770.0592    	2495.00000    
929.0000      	10764.2626    	2455.66675    
929.5000      	10758.4723    	2384.33325    
930.0000      	10752.6882    	2377.33325    
930.5000      	10746.9103    	2396.00000    
931.0000      	10741.1386    	2426.33325    
931.5000      	10735.3731    	2466.33325    
932.0000      	10729.6137    	2477.33325    
932.5000      	10723.8606    	2469.00000    
933.0000      	10718.1136    	2489.33325    
933.5000      	10712.3728    	2505.66675    
934.0000      	10706.6381    	2496.33325    
934.5000      	10700.9096    	2451.00000    
935.0000      	10695.1872    	2413.33325    
935.5000      	10689.4709    	2383.33325    
936.0000      	10683.7607    	2410.33325    
936.5000      	10678.0566    	2436.00000    
937.0000      	10672.3586    	2462.33325    
937.5000      	10666.6667    	2462.00000    
938.0000      	10660.9808    	2481.66675    
938.5000      	10655.3010    	2481.33325    
939.0000      	10649.6273    	2478.00000    
939.5000      	10643.9596    	2407.33325    
940.0000      	10638.2979    	2376.00000    
940.5000      	10632.6422    	2366.33325    
941.0000      	10626.9926    	2352.66675    
941.5000      	10621.3489    	2369.66675    
942.0000      	10615.7113    	2392.00000    
942.5000      	10610.0796    	2543.00000    
943.0000      	10604.4539    	2568.00000    
943.5000      	10598.8341    	2522.00000    
944.0000      	10593.2203    	2494.33325    
944.5000      	10587.6125    	2458.33325    
945.0000      	10582.0106    	2435.66675    
945.5000      	10576.4146    	2410.66675    
946.0000      	10570.8245    	2377.66675    
946.5000      	10565.2404    	2373.66675    
947.0000      	10559.6621    	2386.66675    
947.5000      	10554.0897    	2400.66675    
948.0000      	10548.5232    	2430.00000    
948.5000      	10542.9626    	2477.33325    
949.0000      	10537.4078    	2520.66675    
949.5000      	10531.8589    	2518.33325    
950.0000      	10526.3158    	2470.00000    
950.5000      	10520.7785    	2442.33325    
951.0000      	10515.2471    	2405.66675    
951.5000      	10509.7215    	2403.66675    
952.0000      	10504.2017    	2428.66675    
952.5000      	10498.6877    	2535.66675    
953.0000      	10493.1794    	2526.33325    
953.5000      	10487.6770    	2515.66675    
954.0000      	10482.1803    	2521.00000    
954.5000      	10476.6894    	2534.66675    
955.0000      	10471.2042    	2499.66675    
955.5000      	10465.7248    	2471.33325    
956.0000      	10460.2510    	2436.33325    
956.5000      	10454.7831    	2436.33325    
957.0000      	10449.3208    	2456.00000    
957.5000      	10443.8642    	2477.00000    
958.0000      	10438.4134    	2480.66675    
958.5000      	10432.9682    	2475.66675    
959.0000      	10427.5287    	2458.33325    
959.5000      	10422.0948    	2439.33325    
960.0000      	10416.6667    	2428.33325    
960.5000      	10411.2441    	2420.00000    
961.0000      	10405.8273    	2430.33325    
961.5000      	10400.4160    	2429.00000    
962.0000      	10395.0104    	2425.66675    
962.5000      	10389.6104    	2407.66675    
963.0000      	10384.2160    	2430.33325    
963.5000      	10378.8272    	2443.33325    
964.0000      	10373.4440    	2471.00000    
964.5000      	10368.0664    	2468.33325    
965.0000      	10362.6943    	2451.66675    
965.5000      	10357.3278    	2430.00000    
966.0000      	10351.9669    	2350.66675    
966.5000      	10346.6115    	2342.66675    
967.0000      	10341.2616    	2376.33325    
967.5000      	10335.9173    	2414.33325    
968.0000      	10330.5785    	2450.33325    
968.5000      	10325.2452    	2461.66675    
969.0000      	10319.9174    	2451.33325    
969.5000      	10314.5952    	2457.66675    
970.0000      	10309.2784    	2471.33325    
970.5000      	10303.9670    	2455.00000    
971.0000      	10298.6612    	2440.00000    
971.5000      	10293.3608    	2426.66675    
972.0000      	10288.0658    	2421.33325    
972.5000      	10282.7763    	2408.66675    
973.0000      	10277.4923    	2426.66675    
973.5000      	10272.2137    	2428.00000    
974.0000      	10266.9405    	2449.33325    
974.5000      	10261.6727    	2487.33325    
975.0000      	10256.4103    	2505.66675    
975.5000      	10251.1533    	2509.00000    
976.0000      	10245.9016    	2454.33325    
976.5000      	10240.6554    	2450.00000    
977.0000      	10235.4145    	2453.33325    
977.5000      	10230.1790    	2452.66675    
978.0000      	10224.9489    	2441.33325    
978.5000      	10219.7241    	2449.33325    
979.0000      	10214.5046    	2464.33325    
979.5000      	10209.2905    	2459.66675    
980.0000      	10204.0816    	2470.33325    
980.5000      	10198.8781    	2482.66675    
981.0000      	10193.6799    	2483.33325    
981.5000      	10188.4870    	2467.00000    
982.0000      	10183.2994    	2450.00000    
982.5000      	10178.1170    	2436.33325    
983.0000      	10172.9400    	2437.66675    
983.5000      	10167.7682    	2484.00000    
984.0000      	10162.6016    	2503.66675    
984.5000      	10157.4403    	2525.00000    
985.0000      	10152.2843    	2518.33325    
985.5000      	10147.1334    	2558.00000    
986.0000      	10141.9878    	2530.66675    
986.5000      	10136.8474    	2484.00000    
987.0000      	10131.7123    	2460.00000    
987.5000      	10126.5823    	2442.00000    
988.0000      	10121.4575    	2423.00000    
988.5000      	10116.3379    	2429.33325    
989.0000      	10111.2235    	2483.33325    
989.5000      	10106.1142    	2480.33325    
990.0000      	10101.0101    	2451.33325    
990.5000      	10095.9112    	2457.33325    
991.0000      	10090.8174    	2477.00000    
991.5000      	10085.7287    	2479.66675    
992.0000      	10080.6452    	2463.00000    
992.5000      	10075.5668    	2404.66675    
993.0000      	10070.4935    	2362.00000    
993.5000      	10065.4253    	2345.66675    
994.0000      	10060.3622    	2389.33325    
994.5000      	10055.3042    	2454.66675    
995.0000      	10050.2513    	2507.33325    
995.5000      	10045.2034    	2503.00000    
996.0000      	10040.1606    	2499.66675    
996.5000      	10035.1229    	2483.00000    
997.0000      	10030.0903    	2456.33325    
997.5000      	10025.0627    	2423.66675    
998.0000      	10020.0401    	2415.66675    
998.5000      	10015.0225    	2396.66675    
999.0000      	10010.0100    	2386.33325    
999.5000      	10005.0025    	2420.66675    
1000.0000     	10000.0000    	2468.00000    
